sentence|card
"Like other members of the tribe Cichorieae, lettuce inflorescences (also known as flower heads or capitula) are composed of multiple florets, each with a modified calyx called a pappus (which becomes the feathery ""parachute"" of the fruit), a corolla of five petals fused into a ligule or strap, and the reproductive parts"|lettuce
These include fused anthers that form a tube which surrounds a style and bipartite stigma|lettuce
As the anthers shed pollen, the style elongates to allow the stigmas, now coated with pollen, to emerge from the tube|lettuce
The ovaries form compressed, obovate (teardrop-shaped) dry fruits that do not open at maturity, measuring 3 to 4 mm long|lettuce
The fruits have 5–7 ribs on each side and are tipped by two rows of small white hairs|lettuce
The pappus remains at the top of each fruit as a dispersal structure|lettuce
Each fruit contains one seed, which can be white, yellow, gray or brown depending on the variety of lettuce.The domestication of lettuce over the centuries has resulted in several changes through selective breeding|lettuce
delayed bolting, larger seeds, larger leaves and heads, better taste and texture, a lower latex content, and different leaf shapes and colors|lettuce
Work in these areas continues through the present day|lettuce
Scientific research into the genetic modification of lettuce is ongoing, with over 85 field trials taking place between 1992 and 2005 in the European Union and the United States to test modifications allowing greater herbicide tolerance, greater resistance to insects and fungi and slower bolting patterns|lettuce
However, genetically modified lettuce is not currently used in commercial agriculture.|lettuce
Lettuce was first cultivated in ancient Egypt for the production of oil from its seeds|lettuce
The plant was probably selectively bred by the Egyptians into a plant grown for its edible leaves, with evidence of its cultivation appearing as early as 2680 BC|lettuce
Lettuce was considered a sacred plant of the reproduction god Min, and was carried during his festivals and placed near his images|lettuce
"The plant was thought to help the god ""perform the sexual act untiringly"""|lettuce
Its use in religious ceremonies resulted in the creation of many images in tombs and wall paintings|lettuce
The cultivated variety appears to have been about 75 cm (30 in) tall and resembled a large version of the modern romaine lettuce|lettuce
These upright lettuces were developed by the Egyptians and passed to the Greeks, who in turn shared them with the Romans|lettuce
Around 50 AD, Roman agriculturalist Columella described several lettuce varieties – some of which may have been ancestors of today's lettuces.Lettuce appears in many medieval writings, especially as a medicinal herb|lettuce
Hildegard of Bingen mentioned it in her writings on medicinal herbs between 1098 and 1179, and many early herbals also describe its uses|lettuce
In 1586, Joachim Camerarius provided descriptions of the three basic modern lettuces – head lettuce, loose-leaf lettuce, and romaine (or cos) lettuce|lettuce
Lettuce was first brought to the Americas from Europe by Christopher Columbus in the late 15th century|lettuce
Between the late 16th century and the early 18th century, many varieties were developed in Europe, particularly Holland|lettuce
Books published in the mid-18th and early 19th centuries describe several varieties found in gardens today.Due to its short lifespan after harvest, lettuce was originally sold relatively close to where it was grown|lettuce
The early 20th century saw the development of new packing, storage and shipping technologies that improved the lifespan and transportability of lettuce and resulted in a significant increase in availability|lettuce
During the 1950s, lettuce production was revolutionized with the development of vacuum cooling, which allowed field cooling and packing of lettuce, replacing the previously used method of ice-cooling in packing houses outside the fields.Lettuce is very easy to grow, and as such has been a significant source of sales for many seed companies|lettuce
Tracing the history of many varieties is complicated by the practice of many companies, particularly in the US, of changing a variety's name from year to year|lettuce
"This practice is conducted for several reasons, the most prominent being to boost sales by promoting a ""new"" variety, or to prevent customers from knowing that the variety had been developed by a competing seed company"|lettuce
Documentation from the late 19th century shows between 65 and 140 distinct varieties of lettuce, depending on the amount of variation allowed between types – a distinct difference from the 1,100 named lettuce varieties on the market at the time|lettuce
Names also often changed significantly from country to country|lettuce
Although most lettuce grown today is used as a vegetable, a minor amount is used in the production of tobacco-free cigarettes; however, domestic lettuce's wild relatives produce a leaf that visually more closely resembles tobacco.|lettuce
A hardy annual, some varieties of lettuce can be overwintered even in relatively cold climates under a layer of straw, and older, heirloom varieties are often grown in cold frames|lettuce
Lettuces meant for the cutting of individual leaves are generally planted straight into the garden in thick rows|lettuce
Heading varieties of lettuces are commonly started in flats, then transplanted to individual spots, usually 20 to 36 cm (7.9 to 14.2 in) apart, in the garden after developing several leaves|lettuce
Lettuce spaced farther apart receives more sunlight, which improves color and nutrient quantities in the leaves|lettuce
Pale to white lettuce, such as the centers in some iceberg lettuce, contain few nutrients.|lettuce
Lettuce grows best in full sun in loose, nitrogen-rich soils with a pH of between 6.0 and 6.8|lettuce
Heat generally prompts lettuce to bolt, with most varieties growing poorly above 24 °C (75 °F); cool temperatures prompt better performance, with 16 to 18 °C (61 to 64 °F) being preferred and as low as 7 °C (45 °F) being tolerated|lettuce
Plants in hot areas that are provided partial shade during the hottest part of the day will bolt more slowly|lettuce
Temperatures above 27 °C (81 °F) will generally result in poor or non-existent germination of lettuce seeds|lettuce
After harvest, lettuce lasts the longest when kept at 0 °C (32 °F) and 96 percent humidity|lettuce
Lettuce quickly degrades when stored with fruit such as apples, pears and bananas that release the ripening agent ethylene gas|lettuce
The high water content of lettuce (94.9 percent) creates problems when attempting to preserve the plant – it cannot be successfully frozen, canned or dried and must be eaten fresh|lettuce
In spite of its high water content, traditionally grown lettuce has a low water footprint, with 237 liters of water required for each kilogram of lettuce produced|lettuce
Hydroponic growing methods can reduce this water consumption by nearly two orders of magnitude.|lettuce
Lettuce varieties will cross with each other, making spacing of 1.5 to 6 m (60 to 240 in) between varieties necessary to prevent contamination when saving seeds|lettuce
Lettuce will also cross with Lactuca serriola (wild lettuce), with the resulting seeds often producing a plant with tough, bitter leaves|lettuce
Celtuce, a lettuce variety grown primarily in Asia for its stems, crosses easily with lettuces grown for their leaves|lettuce
This propensity for crossing, however, has led to breeding programs using closely related species in Lactuca, such as L|lettuce
serriola, L|lettuce
saligna, and L|lettuce
virosa, to broaden the available gene pool|lettuce
Starting in the 1990s, such programs began to include more distantly related species such as L|lettuce
tatarica.Seeds keep best when stored in cool conditions, and, unless stored cryogenically, remain viable the longest when stored at −20 °C (−4 °F); they are relatively short lived in storage|lettuce
At room temperature, lettuce seeds remain viable for only a few months|lettuce
However, when newly harvested lettuce seed is stored cryogenically, this life increases to a half-life of 500 years for vaporized nitrogen and 3,400 years for liquid nitrogen; this advantage is lost if seeds are not frozen promptly after harvesting.|lettuce
There are several types or cultivars of lettuce|lettuce
Three types – leaf, head and cos or romaine – are the most common|lettuce
There are seven main cultivar groups of lettuce, each including many varieties:|lettuce
Leaf – Also known as looseleaf, cutting or bunching lettuce, this type has loosely bunched leaves and is the most widely planted|lettuce
It is used mainly for salads.|lettuce
Romaine/Cos – Used mainly for salads and sandwiches, this type forms long, upright heads|lettuce
This is the most often used lettuce in Caesar salads.|lettuce
Iceberg/Crisphead – The most popular type in the United States, Iceberg lettuce is very heat-sensitive and was originally adapted for growth in the northern United States|lettuce
It ships well, but is low in flavor and nutritional content, being composed of even more water than other lettuce types.|lettuce
Summercrisp – Also called Batavian or French crisp, this lettuce is midway between the crisphead and leaf types|lettuce
These lettuces tend to be larger, bolt-resistant and well-flavored.|lettuce
Oilseed – This type is grown for its seeds, which are pressed to extract an oil mainly used for cooking|lettuce
It has few leaves, bolts quickly and produces seeds around 50 percent larger than other types of lettuce.|lettuce
Soil nutrient deficiencies can cause a variety of plant problems that range from malformed plants to a lack of head growth|lettuce
Many insects are attracted to lettuce, including cutworms, which cut seedlings off at the soil line; wireworms and nematodes, which cause yellow, stunted plants; tarnished plant bugs and aphids, which cause yellow, distorted leaves; leafhoppers, which cause stunted growth and pale leaves; thrips, which turn leaves gray-green or silver; leafminers, which create tunnels within the leaves; flea beetles, which cut small holes in leaves and caterpillars, slugs and snails, which cut large holes in leaves|lettuce
For example, the larvae of the ghost moth is a common pest of lettuce plants|lettuce
Mammals, including rabbits and groundhogs, also eat the plants|lettuce
Lettuce contains several defensive compounds, including sesquiterpene lactones, and other natural phenolics such as flavonol and glycosides, which help to protect it against pests|lettuce
Certain varieties contain more than others, and some selective breeding and genetic modification studies have focused on using this trait to identify and produce commercial varieties with increased pest resistance.Lettuce also suffers from several viral diseases, including big vein, which causes yellow, distorted leaves, and mosaic virus, which is spread by aphids and causes stunted plant growth and deformed leaves|lettuce
Aster yellows are a disease-causing bacteria carried by leafhoppers, which causes deformed leaves|lettuce
Fungal diseases include powdery mildew and downy mildew, which cause leaves to mold and die and bottom rot, lettuce drop and gray mold, which cause entire plants to rot and collapse|lettuce
Bacterial diseases include Botrytis cinerea, for which UV-C treatments may be used|lettuce
Vàsquez et al 2017 find that phenylalanine ammonia-lyase activity, phenolic production, and B|lettuce
cinerea resistance are increased by UV-C|lettuce
Crowding lettuce tends to attract pests and diseases|lettuce
Weeds can also be an issue, as cultivated lettuce is generally not competitive with them, especially when directly seeded into the ground|lettuce
Transplanted lettuce (started in flats and later moved to growing beds) is generally more competitive initially, but can still be crowded later in the season, causing misshapen lettuce and lower yields|lettuce
Weeds also act as homes for insects and disease and can make harvesting more difficult|lettuce
Herbicides are often used to control weeds in commercial production|lettuce
However, this has led to the development of herbicide-resistant weeds in lettuce cultivation.|lettuce
Lettuce is the only member of the genus Lactuca to be grown commercially|lettuce
Although China is the top world producer of lettuce, the majority of the crop is consumed domestically|lettuce
Spain is the world's largest exporter of lettuce, with the US ranking second.Western Europe and North America were the original major markets for large-scale lettuce production|lettuce
By the late 1900s, Asia, South America, Australia and Africa became more substantial markets|lettuce
Different locations tended to prefer different types of lettuce, with butterhead prevailing in northern Europe and Great Britain, romaine in the Mediterranean and stem lettuce in China and Egypt|lettuce
By the late 20th century, the preferred types began to change, with crisphead, especially iceberg, lettuce becoming the dominant type in northern Europe and Great Britain and more popular in western Europe|lettuce
In the US, no one type predominated until the early 20th century, when crisphead lettuces began gaining popularity|lettuce
After the 1940s, with the development of iceberg lettuce, 95 percent of the lettuce grown and consumed in the US was crisphead lettuce|lettuce
By the end of the century, other types began to regain popularity and eventually made up over 30 percent of production|lettuce
Stem lettuce was first developed in China, where it remains primarily cultivated.In the early 21st century, bagged salad products increased in the lettuce market, especially in the US where innovative packaging and shipping methods prolonged freshness.In the United States in 2013, California (71%) and Arizona (29%) produced nearly all of the country's fresh head and leaf lettuce, with head lettuce yielding $9400 of value per acre and leaf lettuce $8000 per acre.|lettuce
As described around 50 AD, lettuce leaves were often cooked and served by the Romans with an oil-and-vinegar dressing; however, smaller leaves were sometimes eaten raw|lettuce
During the 81–96 AD reign of Domitian, the tradition of serving a lettuce salad before a meal began|lettuce
Post-Roman Europe continued the tradition of poaching lettuce, mainly with large romaine types, as well as the method of pouring a hot oil and vinegar mixture over the leaves.Today, the majority of lettuce is grown for its leaves, although one type is grown for its stem and one for its seeds, which are made into an oil|lettuce
Most lettuce is used in salads, either alone or with other greens, vegetables, meats and cheeses|lettuce
Romaine lettuce is often used for Caesar salads|lettuce
"Lettuce leaves can also be found in soups, sandwiches and wraps, while the stems are eaten both raw and cooked.The consumption of lettuce in China developed differently from in Western countries, due to health risks and cultural aversion to eating raw leaves; Chinese ""salads"" are composed of cooked vegetables and are served hot or cold"|lettuce
Lettuce is also used in a larger variety of dishes than in Western countries, contributing to a range of dishes including bean curd and meat dishes, soups and stir-frys plain or with other vegetables|lettuce
Stem lettuce, widely consumed in China, is eaten either raw or cooked, the latter primarily in soups and stir-frys|lettuce
Lettuce is also used as a primary ingredient in the preparation of lettuce soup.|lettuce
Depending on the variety, lettuce is an excellent source (20% of the Daily Value, DV, or higher) of vitamin K (97% DV) and vitamin A (21% DV) (table), with higher concentrations of the provitamin A compound, beta-carotene, found in darker green lettuces, such as romaine|lettuce
With the exception of the iceberg variety, lettuce is also a good source (10–19% DV) of folate and iron (table).|lettuce
Food-borne pathogens that can survive on lettuce include Listeria monocytogenes, the causative agent of listeriosis, which multiplies in storage|lettuce
However, despite high levels of bacteria being found on ready-to-eat lettuce products, a 2008 study found no incidences of food-borne illness related to listeriosis, possibly due to the product's short shelf life, indigenous microflora competing with the Listeria bacteria or inhibition of bacteria to cause listeriosis.Other bacteria found on lettuce include Aeromonas species, which have not been linked to any outbreaks; Campylobacter species, which cause campylobacteriosis; and Yersinia intermedia and Yersinia kristensenii (species of Yersinia), which have been found mainly in lettuce|lettuce
Lettuce has been linked to numerous outbreaks of the bacteria E|lettuce
coli O157:H7 and Shigella; the plants were most likely contaminated through contact with animal feces|lettuce
A 2007 study determined that the vacuum cooling method, especially prevalent in the California lettuce industry, increased the uptake and survival rates of E|lettuce
coli O157:H7|lettuce
Salmonella bacteria, including the uncommon Salmonella braenderup type, have also caused outbreaks traced to contaminated lettuce|lettuce
Viruses, including hepatitis A, calicivirus and a Norwalk-like strain, have been found in lettuce|lettuce
The vegetable has also been linked to outbreaks of parasitic infestations, including Giardia lamblia.|lettuce
In addition to its usual purpose as an edible leafy vegetable, lettuce has had a number of uses in ancient (and even some more modern) folk medicine and religious symbolism|lettuce
For example, ancient Egyptians thought lettuce to be a symbol of sexual prowess and a promoter of love and childbearing in women|lettuce
The Romans likewise claimed that it increased sexual potency|lettuce
In contrast, the ancient Greeks connected the plant with male impotency, and served it during funerals (probably due to its role in the myth of Adonis' death), and British women in the 19th century believed it would cause infertility and sterility.|lettuce
"Lettuce has mild narcotic properties; it was called ""sleepwort"" by the Anglo-Saxons because of this attribute, although the cultivated L"|lettuce
sativa has lower levels of the narcotic than its wild cousins|lettuce
"This narcotic effect is a property of two sesquiterpene lactones (lactucin and lactucopicrin) which are found in the white liquid (latex) in the stems of lettuce, called lactucarium or ""lettuce opium"""|lettuce
"Although the standard definition of lactucarium requires its production from Lactuca virosa or ""wild lettuce"", it was recognized that smaller quantities of lactucarium could be produced in a similar way from Lactuca sativa and Lactuca canadensis var"|lettuce
elongata, and that lettuce-opium obtained from Lactuca serriola or Lactuca quercina was of superior quality.Romaine lettuce is one of the symbolic items on the Jewish Passover Seder plate as a bitter herb.Some American settlers claimed that smallpox could be prevented through the ingestion of lettuce, and an Iranian belief suggested consumption of the seeds when afflicted with typhoid|lettuce
Folk medicine has also claimed it as a treatment for pain, rheumatism, tension and nervousness, coughs and insanity; scientific evidence of these benefits in humans has not been found|lettuce
The religious ties of lettuce continue into the present day among the Yazidi people of northern Iraq, who have a religious prohibition against eating the plant.|lettuce
Bradley, Fern Marshall; Ellis, Barbara W.; Martin, Deborah L., eds|lettuce
(2009)|lettuce
The Organic Gardener's Handbook of Natural Pest and Disease Control|lettuce
Rodale|lettuce
ISBN 978-1-60529-677-7.|lettuce
Davey, M|lettuce
R.; Anthony, P.; Van Hooff, P.; Power, J|lettuce
B.; Lowe, K|lettuce
C|lettuce
(2007)|lettuce
"""Lettuce"""|lettuce
Transgenic Crops|lettuce
Biotechnology in Agriculture and Forestry|lettuce
Volume 59|lettuce
Springer|lettuce
ISBN 978-3-540-36752-9|lettuce
Katz, Solomon H.; Weaver, Williams Woys (2003)|lettuce
Encyclopedia of Food and Culture|lettuce
Volume 2|lettuce
Scribner|lettuce
ISBN 978-0-684-80565-8|lettuce
Weaver, Williams Woys (1997)|lettuce
Heirloom Vegetable Gardening|lettuce
A Master Gardener's Guide to Planting, Seed Saving and Cultural History|lettuce
Henry Holt and Company|lettuce
ISBN 978-0-8050-4025-8.|lettuce
Cauliflower is one of several vegetables in the species Brassica oleracea in the genus Brassica, which is in the Brassicaceae (or Mustard) family|cauliflower
It is an annual plant that reproduces by seed|cauliflower
"Typically, only the head is eaten – the edible white flesh sometimes called ""curd"" (with a similar appearance to cheese curd)"|cauliflower
The cauliflower head is composed of a white inflorescence meristem|cauliflower
Cauliflower heads resemble those in broccoli, which differs in having flower buds as the edible portion|cauliflower
"Brassica oleracea also includes broccoli, Brussels sprouts, cabbage, collard greens, and kale, collectively called ""cole"" crops, though they are of different cultivar groups."|cauliflower
Pliny the Elder  included cyma among cultivated plants he described in Natural History|cauliflower
"""Ex omnibus brassicae generibus suavissima est cyma,"" (""Of all the varieties of cabbage the most pleasant-tasted is cyma"")"|cauliflower
Pliny's description likely refers to the flowering heads of an earlier cultivated variety of Brassica oleracea.In the Middle Ages, early forms of cauliflower were associated with the island of Cyprus, with the 12th- and 13th-century Arab botanists Ibn al-'Awwam and Ibn al-Baitar, claiming its origin to be Cyprus|cauliflower
This association continued into Western Europe, where cauliflowers were sometimes known as Cyprus colewort, and there was extensive trade in western Europe in cauliflower seeds from Cyprus, under the French Lusignan rulers of the island, until well into the 16th century.François Pierre La Varenne employed chouxfleurs in Le cuisinier françois|cauliflower
"They were introduced to France from Genoa in the 16th century, and are featured in Olivier de Serres' Théâtre de l'agriculture (1600), as cauli-fiori ""as the Italians call it, which are still rather rare in France; they hold an honorable place in the garden because of their delicacy"", but they did not commonly appear on grand tables until the time of Louis XIV"|cauliflower
It was introduced to India in 1822 by the British.|cauliflower
"The word ""cauliflower"" derives from the Italian cavolfiore, meaning ""cabbage flower"""|cauliflower
The ultimate origin of the name is from the Latin words caulis (cabbage) and flōs (flower).|cauliflower
Because weather is a limiting factor for producing cauliflower, the plant grows best in moderate daytime temperatures 21–29 °C (70–85 °F), with plentiful sun, and moist soil conditions high in organic matter and sandy soils|cauliflower
The earliest maturity possible for cauliflower is 7 to 12 weeks from transplanting|cauliflower
In the northern hemisphere, fall season plantings in July may enable harvesting before autumn frost.Long periods of sun exposure in hot summer weather may cause cauliflower heads to discolor with a red-purple hue.|cauliflower
Transplantable cauliflowers can be produced in containers as flats, hotbeds, or in the field|cauliflower
In soil that is loose, well-drained and fertile, field seedlings are shallow-planted 1 cm (1⁄2 in) and thinned by ample space – about 12 plants per 30 cm (1 ft)|cauliflower
Ideal growing temperatures are about 18 °C (65 °F) when seedlings are 25 to 35 days old|cauliflower
Applications of fertilizer to developing seedlings begin when leaves appear, usually with a starter solution weekly.|cauliflower
Transplanting to the field normally begins late spring and may continue until mid-summer|cauliflower
Row spacing is about 38–46 cm (15–18 in)|cauliflower
The most important disorders affecting cauliflower quality are a hollow stem, stunted head growth or buttoning, ricing, browning and leaf-tip burn|cauliflower
Among major pests affecting cauliflower are aphids, root maggots, cutworms, moths, and flea beetles|cauliflower
The plant is susceptible to black rot, black leg, club root, black leaf spot, and downy mildew.|cauliflower
When cauliflower is mature, heads appear as clear white, compact, and 15–20 cm (6–8 in) in diameter, and should be cooled shortly after harvest|cauliflower
Forced air cooling to remove heat from the field during hot weather may be needed for optimal preservation|cauliflower
Short-term storage is possible using cool, high-humidity storage conditions.|cauliflower
Italian|cauliflower
This specimen is diverse in appearance, biennial and annual in type|cauliflower
This group also includes white, Romanesco, various brown, green, purple, and yellow cultivars|cauliflower
This type is the ancestral form from which the others were derived.|cauliflower
Northern European annuals|cauliflower
Used in Europe and North America for summer and fall harvest, it was developed in Germany in the 18th century and includes the old cultivars Erfurt and Snowball.|cauliflower
Northwest European biennial|cauliflower
Used in Europe for winter and early spring harvest, this was developed in France in the 19th century and includes the old cultivars Angers and Roscoff.|cauliflower
Asian|cauliflower
A tropical cauliflower used in China and India, it was developed in India during the 19th century from the now-abandoned Cornish type and includes old varieties Early Benaras and Early Patna.|cauliflower
There are hundreds of historic and current commercial varieties used around the world|cauliflower
A comprehensive list of about 80 North American varieties is maintained at North Carolina State University.|cauliflower
Orange cauliflower contains beta-carotene as the orange pigment, a provitamin A compound|cauliflower
This orange trait originated from a natural mutant found in a cauliflower field in Canada|cauliflower
Cultivars include 'Cheddar' and 'Orange Bouquet'.|cauliflower
Green cauliflower in the B|cauliflower
oleracea Botrytis Group is sometimes called broccoflower|cauliflower
It is available in the normal curd (head) shape and with a fractal spiral curd called Romanesco broccoli|cauliflower
Both have been commercially available in the U.S|cauliflower
and Europe since the early 1990s|cauliflower
Green-headed varieties include 'Alverda', 'Green Goddess' and 'Vorda'|cauliflower
Romanesco varieties include 'Minaret' and 'Veronica'.|cauliflower
The purple color in this cauliflower is caused by the presence of anthocyanins, water-soluble pigments that are found in many other plants and plant-based products, such as red cabbage and red wine|cauliflower
Varieties include 'Graffiti' and 'Purple Cape'.|cauliflower
In 2016, global production of cauliflowers (combined for production reports with broccoli) was 25.2 million tonnes, led by China and India which, combined, had 73% of the world total|cauliflower
Secondary producers, having 0.4–1.3 million tonnes annually, were the United States, Spain, Mexico and Italy.|cauliflower
Raw cauliflower is 92% water, 5% carbohydrates, 2% protein, and contains negligible fat (table)|cauliflower
A 100-gram (3+1⁄2-ounce) reference amount of raw cauliflower provides 104 kilojoules (25 kilocalories) of food energy, and has a high content (20% or more of the Daily Value, DV) of vitamin C (58% DV) and moderate levels of several B vitamins and vitamin K (13–15% DV; table)|cauliflower
Contents of dietary minerals are low (7% DV or less).|cauliflower
Cauliflower contains several non-nutrient phytochemicals common in the cabbage family that are under preliminary research for their potential properties, including isothiocyanates and glucosinolates|cauliflower
Boiling reduces the levels of cauliflower glucosinolates, while other cooking methods, such as steaming, microwaving, and stir frying, have no significant effect on glucosinolate levels.|cauliflower
Cauliflower heads can be roasted, grilled, boiled, fried, steamed, pickled, or eaten raw|cauliflower
"When cooking, the outer leaves and thick stalks are typically removed, leaving only the florets (the edible ""curd"" or ""head"")"|cauliflower
The leaves are also edible but are often discarded.Cauliflower is a low-calorie, gluten-free alternative to rice and flour|cauliflower
Between 2012 and 2016, cauliflower production in the United States increased 63%, and cauliflower-based product sales increased 71% between 2017 and 2018|cauliflower
Cauliflower rice is made by pulsing cauliflower florets followed by cooking the result in oil|cauliflower
Cauliflower pizza crust is made from cauliflower flour and is popular in pizza restaurants|cauliflower
Mashed cauliflower is a low-carbohydrate alternative to mashed potatoes.|cauliflower
"One of the fractal properties of cauliflower is that every branch, or ""module"", is similar to the entire cauliflower"|cauliflower
"Another quality, also present in other plant species, is that the angle between ""modules,"" as they become more distant from the center, is 360 degrees divided by the golden ratio."|cauliflower
Sharma, S.R.; Singh, P.K.; Chable, V|cauliflower
Tripathi, S.K|cauliflower
(2004)|cauliflower
"""A review of hybrid cauliflower development"""|cauliflower
Journal of New Seeds|cauliflower
6 (2–3)|cauliflower
151|cauliflower
doi:10.1300/J153v06n02_08|cauliflower
S2CID 85136416.CS1 maint|cauliflower
multiple names|cauliflower
authors list (link)|cauliflower
The tomato is the edible berry of the plant Solanum lycopersicum, commonly known as a tomato plant|tomato
The species originated in western South America and Central America|tomato
The Nahuatl word tomatl gave rise to the Spanish word tomate, from which the English word tomato derived|tomato
Its domestication and use as a cultivated food may have originated with the indigenous peoples of Mexico|tomato
The Aztecs used tomatoes in their cooking at the time of the Spanish conquest of the Aztec Empire, and after the Spanish encountered the tomato for the first time after their contact with the Aztecs, they brought the plant to Europe, in a widespread transfer of plants known as the columbian exchange|tomato
From there, the tomato was introduced to other parts of the European-colonized world during the 16th century.Tomatoes are a significant source of umami flavor.|tomato
The tomato is consumed in diverse ways, raw or cooked, in many dishes, sauces, salads, and drinks|tomato
While tomatoes are fruits—botanically classified as berries—they are commonly used as a vegetable ingredient or side dish.Numerous varieties of the tomato plant are widely grown in temperate climates across the world, with greenhouses allowing for the production of tomatoes throughout all seasons of the year|tomato
Tomato plants typically grow to 1–3 meters (3–10 ft) in height|tomato
They are vines that have a weak stem that sprawls and typically needs support|tomato
Indeterminate tomato plants are perennials in their native habitat, but are cultivated as annuals|tomato
(Determinate, or bush, plants are annuals that stop growing at a certain height and produce a crop all at once.) The size of the tomato varies according to the cultivar, with a range of 1–10 cm (1⁄2–4 in) in width.|tomato
The word tomato comes from the Spanish tomate, which in turn comes from the Nahuatl word tomatl [ˈtomat͡ɬ] pronunciation , meaning 'swelling fruit'; also  'fat water' or 'fat thing'|tomato
The native Mexican tomatillo is tomate|tomato
When Aztecs started to cultivate the fruit to be larger, sweeter and red, they called the new variety xitomatl (or jitomates) (pronounced [ʃiːˈtomatɬ]), ('plump with navel' or 'fat water with navel')|tomato
The scientific species name lycopersicum (from the 1753 book, Species Plantarum) is of Greek origin (λύκοπερσικων; lykopersikon), meaning 'wolf peach'.|tomato
The usual pronunciations of tomato are  (usual in American English) and  (usual in British English)|tomato
"The word's dual pronunciations were immortalized in Ira and George Gershwin's 1937 song ""Let's Call the Whole Thing Off"" (""You like  and I like  / You like  and I like "") and have become a symbol for nitpicking pronunciation disputes"|tomato
In this capacity, it has even become an American and British slang term|tomato
"saying """" when presented with two choices can mean ""What's the difference?"" or ""It's all the same to me""."|tomato
Tomato plants are vines, initially decumbent, typically growing 180 cm (6 ft) or more above the ground if supported, although erect bush varieties have been bred, generally 100 cm (3 ft 3 in) tall or shorter|tomato
"Indeterminate types are ""tender"" perennials, dying annually in temperate climates (they are originally native to tropical highlands), although they can live up to three years in a greenhouse in some cases"|tomato
Determinate types are annual in all climates.Tomato plants are dicots, and grow as a series of branching stems, with a terminal bud at the tip that does the actual growing|tomato
When that tip eventually stops growing, whether because of pruning or flowering, lateral buds take over and grow into other, fully functional, vines.Tomato vines are typically pubescent, meaning covered with fine short hairs|tomato
These hairs facilitate the vining process, turning into roots wherever the plant is in contact with the ground and moisture, especially if the vine's connection to its original root has been damaged or severed.Most tomato plants have compound leaves, and are called regular leaf (RL) plants, but some cultivars have simple leaves known as potato leaf (PL) style because of their resemblance to that particular relative|tomato
Of RL plants, there are variations, such as rugose leaves, which are deeply grooved, and variegated, angora leaves, which have additional colors where a genetic mutation causes chlorophyll to be excluded from some portions of the leaves.The leaves are 10–25 cm (4–10 in) long, odd pinnate, with five to nine leaflets on petioles, each leaflet up to 8 cm (3 in) long, with a serrated margin; both the stem and leaves are densely glandular-hairy.Their flowers, appearing on the apical meristem, have the anthers fused along the edges, forming a column surrounding the pistil's style|tomato
Flowers in domestic cultivars can be self-fertilizing|tomato
The flowers are 1–2 cm (1⁄2–3⁄4 in) across, yellow, with five pointed lobes on the corolla; they are borne in a cyme of three to 12 together.Although in culinary terms, tomato is regarded as a vegetable, its fruit is classified botanically as a berry|tomato
As a true fruit, it develops from the ovary of the plant after fertilization, its flesh comprising the pericarp walls|tomato
The fruit contains hollow spaces full of seeds and moisture, called locular cavities|tomato
These vary, among cultivated species, according to type|tomato
Some smaller varieties have two cavities, globe-shaped varieties typically have three to five, beefsteak tomatoes have a great number of smaller cavities, while paste tomatoes have very few, very small cavities.For propagation, the seeds need to come from a mature fruit, and be dried or fermented before germination.|tomato
In 1753, Linnaeus placed the tomato in the genus Solanum (alongside the potato) as Solanum lycopersicum|tomato
In 1768, Philip Miller moved it to its own genus, naming it Lycopersicon esculentum|tomato
This name came into wide use, but was technically in breach of the plant naming rules because Linnaeus's species name lycopersicum still had priority|tomato
Although the name Lycopersicum lycopersicum was suggested by Karsten (1888), this is not used because it violates the International Code of Nomenclature barring the use of tautonyms in botanical nomenclature|tomato
The corrected name Lycopersicon lycopersicum (Nicolson 1974) was technically valid, since Miller's genus name and Linnaeus's species name differ in exact spelling, but since Lycopersicon esculentum has become so well known, it was officially listed as a nomen conservandum in 1983, and would be the correct name for the tomato in classifications which do not place the tomato in the genus Solanum.|tomato
Genetic evidence has now shown that Linnaeus was correct to put the tomato in the genus Solanum, making Solanum lycopersicum the correct name|tomato
Both names, however, will probably be found in the literature for some time|tomato
Two of the major reasons for considering the genera separate are the leaf structure (tomato leaves are markedly different from any other Solanum), and the biochemistry (many of the alkaloids common to other Solanum species are conspicuously absent in the tomato)|tomato
On the other hand, hybrids of tomato and diploid potato can be created in the lab by somatic fusion, and are partially fertile, providing evidence of the close relationship between these species.|tomato
Tomatoes that have been modified using genetic engineering have been developed, and although none are commercially available now, they have been in the past|tomato
The first commercially available genetically modified food was a variety of tomato named the Flavr Savr, which was engineered to have a longer shelf life|tomato
Scientists are continuing to develop tomatoes with new traits not found in natural crops, such as increased resistance to pests or environmental stresses|tomato
Other projects aim to enrich tomatoes with substances that may offer health benefits or provide better nutrition.|tomato
An international consortium of researchers from 10 countries, among them researchers from the Boyce Thompson Institute for Plant Research, began sequencing the tomato genome in 2004, and is creating a database of genomic sequences and information on the tomato and related plants|tomato
A prerelease version of the genome was made available in December 2009|tomato
The genomes of its mitochondria and chloroplasts are also being sequenced as part of the project|tomato
The complete genome for the cultivar Heinz 1706 was published on 31 May 2012 in Nature|tomato
Since many other fruits, like strawberries, apples, melons, and bananas share the same characteristics and genes, researchers stated the published genome could help to improve food quality, food security and reduce costs of all of these fruits.|tomato
